"Package" "Built"
"101" "crul" "3.6.1"
"102" "cubature" "3.6.1"
"103" "Cubist" "3.6.1"
"104" "curl" "3.6.1"
"105" "CVST" "3.6.1"
"106" "DAAG" "3.6.1"
"107" "dada2" "3.6.1"
"108" "data.table" "3.6.1"
"109" "date" "3.6.1"
"110" "DBI" "3.6.1"
"111" "dbplyr" "3.6.1"
"112" "ddalpha" "3.6.1"
"113" "DECIPHER" "3.6.1"
"114" "degreenet" "3.6.1"
"115" "DelayedArray" "3.6.1"
"116" "deldir" "3.6.1"
"117" "dendextend" "3.6.1"
"118" "denstrip" "3.6.1"
"119" "DEoptimR" "3.6.1"
"120" "desc" "3.6.1"
"121" "DESeq2" "3.6.1"
"122" "deSolve" "3.6.1"
"123" "Devore7" "3.6.1"
"124" "devtools" "3.6.1"
"125" "dfoptim" "3.6.1"
"126" "dichromat" "3.6.1"
"127" "digest" "3.6.1"
"128" "dimRed" "3.6.1"
"129" "diptest" "3.6.1"
"130" "dismo" "3.6.1"
"131" "DistributionUtils" "3.6.1"
"132" "doParallel" "3.6.1"
"133" "doRedis" "3.6.1"
"134" "doRNG" "3.6.1"
"135" "dotCall64" "3.6.1"
"136" "downloader" "3.6.1"
"137" "dplyr" "3.6.1"
"138" "DRR" "3.6.1"
"139" "dynamicTreeCut" "3.6.1"
"140" "dynlm" "3.6.1"
"141" "e1071" "3.6.1"
"142" "earth" "3.6.1"
"143" "edgeR" "3.6.1"
"144" "effects" "3.6.1"
"145" "eiPack" "3.6.1"
"146" "ellipse" "3.6.1"
"147" "ellipsis" "3.6.1"
"148" "emdbook" "3.6.1"
"149" "emmeans" "3.6.1"
"150" "estimability" "3.6.1"
"151" "evaluate" "3.6.1"
"152" "evd" "3.6.1"
"153" "expm" "3.6.1"
"154" "Fahrmeir" "3.6.1"
"155" "fansi" "3.6.1"
"156" "faraway" "3.6.1"
"157" "fastcluster" "3.6.1"
"158" "fastICA" "3.6.1"
"159" "fastmatch" "3.6.1"
"160" "fastR" "3.6.1"
"161" "fdrtool" "3.6.1"
"162" "feather" "3.6.1"
"163" "FGN" "3.4.3"
"164" "fields" "3.6.1"
"165" "filehash" "3.6.1"
"166" "fishMod" "3.6.1"
"167" "fit.models" "3.6.1"
"168" "fitdistrplus" "3.6.1"
"169" "flexmix" "3.6.1"
"170" "FMStable" "3.6.1"
"171" "fontcm" "3.6.1"
"172" "forcats" "3.6.1"
"173" "foreach" "3.6.1"
"174" "formatR" "3.6.1"
"175" "formattable" "3.6.1"
"176" "Formula" "3.6.1"
"177" "forward" "3.6.1"
"178" "fpc" "3.6.1"
"179" "fs" "3.6.2"
"180" "futile.logger" "3.6.1"
"181" "futile.options" "3.6.1"
"182" "GA" "3.6.1"
"183" "gam" "3.6.1"
"184" "gamair" "3.6.1"
"185" "GAMBoost" "3.6.1"
"186" "gamlss" "3.6.1"
"187" "gamlss.data" "3.6.1"
"188" "gamlss.dist" "3.6.1"
"189" "gamm4" "3.6.1"
"190" "gargle" "3.6.1"
"191" "gbm" "3.6.1"
"192" "gbRd" "3.6.1"
"193" "gclus" "3.6.1"
"194" "gdata" "3.6.1"
"195" "gdtools" "3.6.1"
"196" "gee" "3.6.1"
"197" "geepack" "3.6.1"
"198" "geigen" "3.6.1"
"199" "genefilter" "3.6.1"
"200" "geneplotter" "3.6.1"
"201" "GeneralizedHyperbolic" "3.6.1"
"202" "generics" "3.6.1"
"203" "GenomeInfoDb" "3.6.1"
"204" "GenomeInfoDbData" "3.6.1"
"205" "GenomicAlignments" "3.6.1"
"206" "GenomicRanges" "3.6.1"
"207" "GenSA" "3.6.1"
"208" "geometry" "3.6.1"
"209" "geoR" "3.6.1"
"210" "geoRglm" "3.6.1"
"211" "geosphere" "3.6.1"
"212" "getopt" "3.6.1"
"213" "getPass" "3.6.1"
"214" "GGally" "3.6.1"
"215" "ggdendro" "3.6.1"
"216" "ggfittext" "3.6.1"
"217" "ggformula" "3.6.1"
"218" "ggfortify" "3.6.1"
"219" "ggmap" "3.6.1"
"220" "ggplot2" "3.6.1"
"221" "ggrepel" "3.6.1"
"222" "ggridges" "3.6.1"
"223" "ggstance" "3.6.1"
"224" "ggthemes" "3.6.1"
"225" "gh" "3.6.1"
"226" "git2r" "3.6.1"
"227" "glmmML" "3.6.1"
"228" "glmmTMB" "3.6.1"
"229" "glmnet" "3.6.1"
"230" "glue" "3.6.1"
"231" "gmailr" "3.6.1"
"232" "gmm" "3.6.1"
"233" "gmodels" "3.6.1"
"234" "gmp" "3.6.1"
"235" "gnm" "3.6.1"
"236" "gof" "3.6.1"
"237" "goftest" "3.6.1"
"238" "googledrive" "3.6.1"
"239" "googleVis" "3.6.1"
"240" "gower" "3.6.1"
"241" "GPArotation" "3.6.1"
"242" "gpclib" "3.6.1"
"243" "gplots" "3.6.1"
"244" "gridBase" "3.6.1"
"245" "gridExtra" "3.6.1"
"246" "gsl" "3.4.2"
"247" "gtable" "3.6.1"
"248" "gtools" "3.6.1"
"249" "haven" "3.6.1"
"250" "heplots" "3.6.1"
"251" "here" "3.6.2"
"252" "highr" "3.6.1"
"253" "Hmisc" "3.6.1"
"254" "hms" "3.6.1"
"255" "HMSC" "3.4.1"
"256" "hoardr" "3.6.1"
"257" "HSAUR" "3.6.1"
"258" "HSAUR3" "3.6.1"
"259" "htmlTable" "3.6.1"
"260" "htmltools" "3.6.1"
"261" "htmlwidgets" "3.6.1"
"262" "httpcode" "3.6.1"
"263" "httpuv" "3.6.1"
"264" "httr" "3.6.1"
"265" "huge" "3.6.1"
"266" "hunspell" "3.6.1"
"267" "hwriter" "3.6.1"
"268" "igraph" "3.6.1"
"269" "IHW" "3.6.1"
"270" "ineq" "3.6.1"
"271" "ini" "3.6.1"
"272" "inline" "3.6.1"
"273" "intervals" "3.6.1"
"274" "inum" "3.6.1"
"275" "ipred" "3.6.1"
"276" "IRanges" "3.6.1"
"277" "irlba" "3.6.1"
"278" "isa2" "3.6.1"
"279" "ISwR" "3.6.1"
"280" "iterators" "3.6.1"
"281" "itertools" "3.6.1"
"282" "jpeg" "3.6.1"
"283" "jsonlite" "3.6.1"
"284" "kableExtra" "3.6.1"
"285" "kernlab" "3.6.1"
"286" "kinship2" "3.6.1"
"287" "klaR" "3.6.1"
"288" "knitr" "3.6.1"
"289" "kutils" "3.6.1"
"290" "labeling" "3.6.1"
"291" "labelled" "3.6.1"
"292" "Lahman" "3.6.1"
"293" "lambda.r" "3.6.1"
"294" "lars" "3.6.1"
"295" "later" "3.6.1"
"296" "latticeExtra" "3.6.1"
"297" "lava" "3.6.1"
"298" "lava.tobit" "3.6.1"
"299" "lavaan" "3.6.1"
"300" "lazyeval" "3.6.1"
"301" "leaflet" "3.6.1"
"302" "leaps" "3.6.1"
"303" "lfe" "3.6.1"
"304" "libcoin" "3.6.1"
"305" "lifecycle" "3.6.1"
"306" "likert" "3.6.1"
"307" "limma" "3.6.1"
"308" "linprog" "3.6.1"
"309" "lintr" "3.6.1"
"310" "listviewer" "3.6.1"
"311" "lme4" "3.6.1"
"312" "lmerTest" "3.6.1"
"313" "lmodel2" "3.6.1"
"314" "lmtest" "3.6.1"
"315" "locfit" "3.6.1"
"316" "lokern" "3.6.1"
"317" "longmemo" "3.6.1"
"318" "loo" "3.6.1"
"319" "lpSolve" "3.6.1"
"320" "lpsymphony" "3.6.1"
"321" "lqa" "3.4.2"
"322" "lsei" "3.6.1"
"323" "lsmeans" "3.6.1"
"324" "ltsa" "3.6.1"
"325" "lubridate" "3.6.1"
"326" "magic" "3.6.1"
"327" "magrittr" "3.6.1"
"328" "manipulateWidget" "3.6.1"
"329" "mapproj" "3.6.1"
"330" "maps" "3.6.1"
"331" "maptools" "3.6.1"
"332" "maptree" "3.6.1"
"333" "markdown" "3.6.1"
"334" "matrixcalc" "3.6.1"
"335" "MatrixModels" "3.6.1"
"336" "matrixStats" "3.6.1"
"337" "maxLik" "3.6.1"
"338" "maxlike" "3.6.1"
"339" "MBA" "3.6.1"
"340" "mc2d" "3.6.1"
"341" "mclust" "3.6.1"
"342" "mda" "3.6.1"
"343" "mediation" "3.6.1"
"344" "memoise" "3.6.1"
"345" "merTools" "3.6.1"
"346" "metacoder" "3.6.1"
"347" "metafor" "3.6.1"
"348" "mets" "3.6.1"
"349" "mi" "3.6.1"
"350" "microbenchmark" "3.6.1"
"351" "mime" "3.6.1"
"352" "miniUI" "3.6.1"
"353" "minpack.lm" "3.6.1"
"354" "minqa" "3.6.1"
"355" "misc3d" "3.6.1"
"356" "miscTools" "3.6.1"
"357" "missForest" "3.6.1"
"358" "mitools" "3.6.1"
"359" "mix" "3.6.1"
"360" "mixOmics" "3.6.1"
"361" "mlbench" "3.6.1"
"362" "MLmetrics" "3.6.1"
"363" "mlmRev" "3.6.1"
"364" "mlogit" "3.6.1"
"365" "mnormt" "3.6.1"
"366" "ModelMetrics" "3.6.1"
"367" "modelr" "3.6.1"
"368" "modeltools" "3.6.1"
"369" "mosaic" "3.6.1"
"370" "mosaicCalc" "3.6.1"
"371" "mosaicCore" "3.6.1"
"372" "mosaicData" "3.6.1"
"373" "MPV" "3.6.1"
"374" "msa" "3.6.1"
"375" "msm" "3.6.1"
"376" "mstate" "3.6.1"
"377" "muhaz" "3.6.1"
"378" "multcomp" "3.6.1"
"379" "multcompView" "3.6.1"
"380" "multtest" "3.6.1"
"381" "MuMIn" "3.6.1"
"382" "munsell" "3.6.1"
"383" "mvabund" "3.4.1"
"384" "mvinfluence" "3.6.1"
"385" "mvtnorm" "3.6.1"
"386" "NADA" "3.6.1"
"387" "natserv" "3.6.1"
"388" "neighbr" "3.6.1"
"389" "network" "3.6.1"
"390" "networkD3" "3.6.1"
"391" "networkDynamic" "3.6.1"
"392" "networkDynamicData" "3.6.1"
"393" "networksis" "3.6.1"
"394" "NHANES" "3.6.1"
"395" "nloptr" "3.6.1"
"396" "NLP" "3.6.1"
"397" "NMF" "3.6.1"
"398" "nortest" "3.6.1"
"399" "np" "3.6.1"
"400" "npsurv" "3.6.1"
"401" "numDeriv" "3.6.1"
"402" "olsrr" "3.6.1"
"403" "OpenMPController" "3.6.1"
"404" "openssl" "3.6.1"
"405" "openxlsx" "3.6.1"
"406" "optparse" "3.6.1"
"407" "orcutt" "3.6.1"
"408" "ordinal" "3.6.1"
"409" "orthopolynom" "3.6.1"
"410" "oz" "3.6.1"
"411" "packrat" "3.6.1"
"412" "padr" "3.6.2"
"413" "pamr" "3.6.1"
"414" "pan" "3.6.1"
"415" "pander" "3.6.1"
"416" "partitions" "3.6.1"
"417" "party" "3.6.1"
"418" "partykit" "3.6.1"
"419" "pbdZMQ" "3.6.1"
"420" "pbivnorm" "3.6.1"
"421" "pbkrtest" "3.6.1"
"422" "pbnm" "3.4.2"
"423" "pcse" "3.6.1"
"424" "pder" "3.6.1"
"425" "penalized" "3.6.1"
"426" "PerformanceAnalytics" "3.6.1"
"427" "permute" "3.6.1"
"428" "pglm" "3.6.1"
"429" "phangorn" "3.6.1"
"430" "PhotosynQ" "3.4.3"
"431" "phyloseq" "3.6.1"
"432" "phylotate" "3.6.1"
"433" "picante" "3.6.1"
"434" "pillar" "3.6.1"
"435" "pkgbuild" "3.6.1"
"436" "pkgconfig" "3.6.1"
"437" "pkgload" "3.6.1"
"438" "pkgmaker" "3.6.1"
"439" "PKI" "3.6.1"
"440" "plm" "3.6.1"
"441" "plogr" "3.6.1"
"442" "plotmo" "3.6.1"
"443" "plotrix" "3.6.1"
"444" "pls" "3.6.1"
"445" "plyr" "3.6.1"
"446" "pmml" "3.6.1"
"447" "pmmlTransformations" "3.6.1"
"448" "png" "3.6.1"
"449" "poLCA" "3.6.1"
"450" "polyclip" "3.6.1"
"451" "polynom" "3.6.1"
"452" "prabclus" "3.6.1"
"453" "pracma" "3.6.1"
"454" "praise" "3.6.1"
"455" "prefmod" "3.6.1"
"456" "PresenceAbsence" "3.6.1"
"457" "prettyunits" "3.6.1"
"458" "princurve" "3.6.1"
"459" "pROC" "3.6.1"
"460" "processx" "3.6.1"
"461" "prodlim" "3.6.1"
"462" "profdpm" "3.6.1"
"463" "profileModel" "3.6.1"
"464" "progress" "3.6.1"
"465" "promises" "3.6.1"
"466" "propr" "3.6.1"
"467" "proto" "3.6.1"
"468" "protolite" "3.6.1"
"469" "proxy" "3.6.1"
"470" "pryr" "3.6.1"
"471" "ps" "3.6.1"
"472" "pscl" "3.6.1"
"473" "pso" "3.6.1"
"474" "psych" "3.6.1"
"475" "psychotools" "3.6.1"
"476" "psychotree" "3.6.1"
"477" "purrr" "3.6.1"
"478" "pvclust" "3.6.1"
"479" "qap" "3.6.1"
"480" "quadprog" "3.6.1"
"481" "Quandl" "3.6.2"
"482" "quantmod" "3.6.1"
"483" "quantreg" "3.6.1"
"484" "questionr" "3.6.1"
"485" "QUIC" "3.6.1"
"486" "qvcalc" "3.6.1"
"487" "R2BayesX" "3.6.1"
"488" "R2Cuba" "3.4.2"
"489" "R2HTML" "3.6.1"
"490" "R2jags" "3.4.1"
"491" "R2OpenBUGS" "3.6.1"
"492" "R2WinBUGS" "3.6.1"
"493" "R6" "3.6.1"
"494" "RandomFields" "3.6.1"
"495" "RandomFieldsUtils" "3.6.1"
"496" "randomForest" "3.6.1"
"497" "randomForestSRC" "3.6.1"
"498" "randomGLM" "3.6.1"
"499" "ranger" "3.6.1"
"500" "RANN" "3.6.1"
"501" "rappdirs" "3.6.1"
"502" "rARPACK" "3.6.1"
"503" "raster" "3.6.1"
"504" "rbenchmark" "3.6.1"
"505" "rcdd" "3.6.1"
"506" "rcmdcheck" "3.6.1"
"507" "Rcmdr" "3.6.1"
"508" "RcmdrMisc" "3.6.1"
"509" "RColorBrewer" "3.6.1"
"510" "Rcpp" "3.6.1"
"511" "RcppArmadillo" "3.6.1"
"512" "RcppEigen" "3.6.1"
"513" "RcppGSL" "3.4.1"
"514" "RcppParallel" "3.6.1"
"515" "RcppProgress" "3.6.1"
"516" "RcppRoll" "3.6.1"
"517" "Rcsdp" "3.6.1"
"518" "RCurl" "3.6.1"
"519" "rdist" "3.6.1"
"520" "Rdpack" "3.6.1"
"521" "readr" "3.6.1"
"522" "readstata13" "3.6.1"
"523" "readxl" "3.6.1"
"524" "recipes" "3.6.1"
"525" "registry" "3.6.1"
"526" "relevent" "3.6.1"
"527" "relimp" "3.6.1"
"528" "rem" "3.6.1"
"529" "rematch" "3.6.1"
"530" "rematch2" "3.6.1"
"531" "remoter" "3.6.1"
"532" "remotes" "3.6.1"
"533" "rentrez" "3.6.1"
"534" "reprex" "3.6.1"
"535" "reshape" "3.6.1"
"536" "reshape2" "3.6.1"
"537" "reticulate" "3.6.1"
"538" "rex" "3.6.1"
"539" "rfUtilities" "3.6.1"
"540" "rgenoud" "3.6.1"
"541" "rgl" "3.6.1"
"542" "RgoogleMaps" "3.6.1"
"543" "rhdf5" "3.6.1"
"544" "Rhdf5lib" "3.6.1"
"545" "Rhtslib" "3.6.1"
"546" "rich" "3.6.1"
"547" "rio" "3.6.1"
"548" "ritis" "3.6.1"
"549" "rjags" "3.4.1"
"550" "rjson" "3.6.1"
"551" "RJSONIO" "3.6.1"
"552" "rlang" "3.6.1"
"553" "rlecuyer" "3.6.1"
"554" "RLRsim" "3.6.1"
"555" "rmarkdown" "3.6.1"
"556" "rmeta" "3.6.1"
"557" "rncl" "3.6.1"
"558" "rngtools" "3.6.1"
"559" "robumeta" "3.6.1"
"560" "robustbase" "3.6.1"
"561" "rockchalk" "3.6.1"
"562" "ROCR" "3.6.1"
"563" "rotl" "3.6.1"
"564" "roxygen2" "3.6.1"
"565" "rpart.plot" "3.6.1"
"566" "rprojroot" "3.6.1"
"567" "rPython" "3.6.1"
"568" "rredis" "3.6.1"
"569" "rredlist" "3.6.1"
"570" "Rsamtools" "3.6.1"
"571" "RSclient" "3.6.1"
"572" "rsconnect" "3.6.1"
"573" "Rserve" "3.6.1"
"574" "rsm" "3.6.1"
"575" "RSpectra" "3.6.1"
"576" "RSQLite" "3.6.1"
"577" "rstan" "3.6.1"
"578" "rstantools" "3.6.1"
"579" "rstudioapi" "3.6.1"
"580" "rticles" "3.6.1"
"581" "RUnit" "3.6.1"
"582" "rversions" "3.6.1"
"583" "rvest" "3.6.1"
"584" "RWiener" "3.6.1"
"585" "S4Vectors" "3.6.1"
"586" "sampleSelection" "3.6.1"
"587" "sandwich" "3.6.1"
"588" "scales" "3.6.1"
"589" "scalreg" "3.6.1"
"590" "scatterplot3d" "3.6.1"
"591" "segmented" "3.6.1"
"592" "selectr" "3.6.1"
"593" "sem" "3.6.1"
"594" "seqinr" "3.6.1"
"595" "seqtime" "3.4.3"
"596" "seriation" "3.6.1"
"597" "sessioninfo" "3.6.1"
"598" "sfsmisc" "3.6.1"
"599" "shades" "3.6.1"
"600" "shapefiles" "3.6.1"
"601" "shiny" "3.6.1"
"602" "shinydashboard" "3.6.1"
"603" "shinyWidgets" "3.6.1"
"604" "ShortRead" "3.6.1"
"605" "signal" "3.6.1"
"606" "SkewHyperbolic" "3.6.1"
"607" "slam" "3.6.1"
"608" "Sleuth2" "3.6.1"
"609" "sm" "3.6.1"
"610" "sna" "3.6.1"
"611" "snow" "3.6.1"
"612" "SnowballC" "3.6.1"
"613" "snowfall" "3.6.1"
"614" "snowFT" "3.6.1"
"615" "solrium" "3.6.1"
"616" "som" "3.6.1"
"617" "sourcetools" "3.6.1"
"618" "sp" "3.6.1"
"619" "spacetime" "3.6.1"
"620" "spam" "3.6.1"
"621" "spam64" "3.6.1"
"622" "SparseM" "3.6.1"
"623" "spData" "3.6.1"
"624" "speedglm" "3.6.1"
"625" "SpiecEasi" "3.4.3"
"626" "splancs" "3.6.1"
"627" "spls" "3.6.1"
"628" "SQUAREM" "3.6.1"
"629" "stabledist" "3.6.1"
"630" "stabs" "3.6.1"
"631" "StanHeaders" "3.6.1"
"632" "stargazer" "3.6.1"
"633" "statisticalModeling" "3.4.2"
"634" "statmod" "3.6.1"
"635" "statnet.common" "3.6.1"
"636" "stinepack" "3.6.1"
"637" "stringdist" "3.6.1"
"638" "stringi" "3.6.1"
"639" "stringr" "3.6.1"
"640" "strucchange" "3.6.1"
"641" "subselect" "3.6.1"
"642" "SummarizedExperiment" "3.6.1"
"643" "superpc" "3.6.1"
"644" "SuppDists" "3.6.1"
"645" "survey" "3.6.1"
"646" "svglite" "3.6.1"
"647" "sys" "3.6.1"
"648" "systemfit" "3.6.1"
"649" "taxa" "3.6.1"
"650" "taxize" "3.6.1"
"651" "tcltk2" "3.6.1"
"652" "TeachingDemos" "3.6.1"
"653" "templater" "3.4.1"
"654" "testit" "3.6.1"
"655" "testthat" "3.6.1"
"656" "texreg" "3.6.1"
"657" "TH.data" "3.6.1"
"658" "tibble" "3.6.1"
"659" "tidyquant" "3.6.2"
"660" "tidyr" "3.6.2"
"661" "tidyselect" "3.6.1"
"662" "tidyverse" "3.6.1"
"663" "timeDate" "3.6.1"
"664" "timereg" "3.6.1"
"665" "timeSeries" "3.6.1"
"666" "timetk" "3.6.2"
"667" "tinytex" "3.6.1"
"668" "TMB" "3.6.1"
"669" "traits" "3.6.1"
"670" "triebeard" "3.6.1"
"671" "trimcluster" "3.6.1"
"672" "truncdist" "3.6.1"
"673" "truncnorm" "3.6.1"
"674" "truncreg" "3.6.1"
"675" "trust" "3.6.1"
"676" "TSA" "3.6.1"
"677" "tseries" "3.6.1"
"678" "tsna" "3.6.1"
"679" "TSP" "3.6.1"
"680" "TTR" "3.6.1"
"681" "tuneR" "3.6.1"
"682" "tweedie" "3.6.1"
"683" "ucminf" "3.6.1"
"684" "untb" "3.6.1"
"685" "urca" "3.6.1"
"686" "urltools" "3.6.1"
"687" "usethis" "3.6.2"
"688" "utf8" "3.6.1"
"689" "uuid" "3.6.1"
"690" "VarianceGamma" "3.6.1"
"691" "vars" "3.6.1"
"692" "vcd" "3.6.1"
"693" "vctrs" "3.6.1"
"694" "Vdgraph" "3.6.1"
"695" "vegan" "3.6.1"
"696" "VennDiagram" "3.6.1"
"697" "VGAM" "3.6.1"
"698" "VGAMdata" "3.6.1"
"699" "vioplot" "3.6.1"
"700" "viridis" "3.6.1"
"701" "viridisLite" "3.6.1"
"702" "visNetwork" "3.6.1"
"703" "wbstats" "3.6.1"
"704" "weatherData" "3.4.2"
"705" "webshot" "3.6.1"
"706" "wesanderson" "3.6.1"
"707" "whisker" "3.6.1"
"708" "WikidataR" "3.6.1"
"709" "WikipediR" "3.6.1"
"710" "wikitaxa" "3.6.1"
"711" "withr" "3.6.1"
"712" "worrms" "3.6.1"
"713" "xfun" "3.6.1"
"714" "xgboost" "3.6.1"
"715" "XML" "3.6.1"
"716" "xml2" "3.6.1"
"717" "xopen" "3.6.1"
"718" "xtable" "3.6.1"
"719" "xts" "3.6.1"
"720" "XVector" "3.6.1"
"721" "yaml" "3.6.1"
"722" "zCompositions" "3.6.1"
"723" "zeallot" "3.6.1"
"724" "zip" "3.6.1"
"725" "zipcode" "3.6.1"
"726" "zlibbioc" "3.6.1"
"727" "zoo" "3.6.1"
"728" "rgl" "3.6.1"
