Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
backports,/usr/local/lib/R/site-library,1.1.4,NA,R (>= 3.0.0),utils,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
base64enc,/usr/local/lib/R/site-library,0.1-3,NA,R (>= 2.9.0),NA,NA,NA,png,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
bayesplot,/usr/local/lib/R/site-library,1.7.0,NA,R (>= 3.1.0),"dplyr (>= 0.8.0), ggplot2 (>= 2.2.1), ggridges, glue,
reshape2, rlang (>= 0.3.0), stats, tibble, tidyselect, utils",NA,"gridExtra (>= 2.2.1), hexbin, knitr (>= 1.16), loo (>=
2.0.0), RColorBrewer, rmarkdown (>= 1.0.0), rstan (>= 2.17.1),
rstanarm (>= 2.17.4), rstantools (>= 1.5.0), scales, shinystan
(>= 2.3.0), testthat (>= 2.0.0), vdiffr",NA,GPL (>= 3),NA,NA,NA,NA,no,3.6.1
BayesX,/usr/local/lib/R/site-library,0.3-1,NA,shapefiles,"sp, maptools, colorspace, coda, splines, methods",NA,"spdep, akima, gpclib, rgeos",NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.1
BayesXsrc,/usr/local/lib/R/site-library,3.0-1,NA,R (>= 2.8.0),NA,NA,R2BayesX,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
bbmle,/usr/local/lib/R/site-library,1.0.20,NA,"R (>= 3.0.0), stats4","stats, numDeriv, lattice, MASS, methods",NA,"emdbook, rms, ggplot2, RUnit, MuMIn, AICcmodavg, Hmisc,
optimx (>= 2013.8.6), knitr, testthat",NA,GPL,NA,NA,NA,NA,no,3.6.1
bdsmatrix,/usr/local/lib/R/site-library,1.3-3,NA,"methods, R (>= 2.0.0)",NA,NA,NA,NA,LGPL-2,NA,NA,NA,NA,yes,3.6.1
betapart,/usr/local/lib/R/site-library,1.5.1,NA,NA,"ape, fastmatch, geometry, picante, rcdd",NA,"doParallel, foreach, vegan",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
betareg,/usr/local/lib/R/site-library,3.1-2,NA,R (>= 3.0.0),"graphics, grDevices, methods, stats, flexmix, Formula, lmtest,
modeltools, sandwich",NA,"car, lattice, partykit, strucchange",NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.1
BH,/usr/local/lib/R/site-library,1.69.0-1,NA,NA,NA,NA,NA,NA,BSL-1.0,NA,NA,NA,NA,no,3.6.1
BiasedUrn,/usr/local/lib/R/site-library,1.07,NA,NA,NA,NA,NA,NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
bibtex,/usr/local/lib/R/site-library,0.4.2,NA,R (>= 3.0.2),"stringr, utils",NA,testthat,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
biglm,/usr/local/lib/R/site-library,0.9-1,NA,"DBI, methods",NA,NA,"RSQLite, RODBC",leaps,GPL,NA,NA,NA,NA,yes,3.6.1
bindr,/usr/local/lib/R/site-library,0.1.1,NA,NA,NA,NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
bindrcpp,/usr/local/lib/R/site-library,0.2.2,NA,NA,"bindr (>= 0.1.1), Rcpp (>= 0.12.16)","plogr, Rcpp",testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
binGroup,/usr/local/lib/R/site-library,2.2-1,NA,NA,"graphics, partitions, Rdpack, stats, utils",NA,NA,NA,GPL (>= 3),NA,NA,NA,NA,no,3.6.1
Biobase,/usr/local/lib/R/site-library,2.44.0,NA,"R (>= 2.10), BiocGenerics (>= 0.27.1), utils",methods,NA,"tools, tkWidgets, ALL, RUnit, golubEsets",NA,Artistic-2.0,NA,NA,NA,NA,yes,3.6.1
BiocGenerics,/usr/local/lib/R/site-library,0.30.0,NA,"R (>= 3.6.0), methods, utils, graphics, stats, parallel","methods, utils, graphics, stats, parallel",NA,"Biobase, S4Vectors, IRanges, GenomicRanges, Rsamtools,
AnnotationDbi, oligoClasses, oligo, affyPLM, flowClust, affy,
DESeq2, MSnbase, annotate, RUnit",NA,Artistic-2.0,NA,NA,NA,NA,no,3.6.1
BiocInstaller,/usr/local/lib/R/site-library,1.28.0,NA,R (>= 3.4.0),NA,NA,"devtools, RUnit, BiocGenerics",NA,Artistic-2.0,NA,NA,NA,NA,no,3.4.2
BiocManager,/usr/local/lib/R/site-library,1.30.4,NA,R (>= 3.5.0),utils,NA,"BiocStyle, BiocVersion, remotes, testthat, knitr, withr",NA,Artistic-2.0,NA,NA,NA,NA,no,3.6.1
BiocParallel,/usr/local/lib/R/site-library,1.18.1,NA,methods,"stats, utils, futile.logger, parallel, snow",BH,"BiocGenerics, tools, foreach, BatchJobs, BBmisc, doParallel,
Rmpi, GenomicRanges, RNAseqData.HNRNPC.bam.chr14,
TxDb.Hsapiens.UCSC.hg19.knownGene, VariantAnnotation,
Rsamtools, GenomicAlignments, ShortRead, codetools, RUnit,
BiocStyle, knitr, batchtools, data.table",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
BiocVersion,/usr/local/lib/R/site-library,3.9.0,NA,"R (>= 3.6.0), R (< 3.7.0)",NA,NA,NA,NA,Artistic-2.0,NA,NA,NA,NA,no,3.6.1
biom,/usr/local/lib/R/site-library,0.3.12,NA,"R (>= 3.0.0), methods","plyr (>= 1.8), RJSONIO (>= 1.0.3), Matrix (>= 1.0.12)",NA,"testthat (>= 0.7.1), knitr (>= 1.3)",NA,GPL-2,NA,NA,NA,NA,no,3.3.2
biomformat,/usr/local/lib/R/site-library,1.12.0,NA,"R (>= 3.2), methods","plyr (>= 1.8), jsonlite (>= 0.9.16), Matrix (>= 1.2), rhdf5",NA,"testthat (>= 0.10), knitr (>= 1.10), BiocStyle (>= 1.6),
rmarkdown (>= 0.7)",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
Biostrings,/usr/local/lib/R/site-library,2.52.0,NA,"R (>= 3.5.0), methods, BiocGenerics, S4Vectors (>= 0.21.13),
IRanges, XVector (>= 0.23.2)","graphics, methods, stats, utils","S4Vectors, IRanges, XVector","BSgenome (>= 1.13.14), BSgenome.Celegans.UCSC.ce2 (>=
1.3.11), BSgenome.Dmelanogaster.UCSC.dm3 (>= 1.3.11),
BSgenome.Hsapiens.UCSC.hg18, drosophila2probe, hgu95av2probe,
hgu133aprobe, GenomicFeatures (>= 1.3.14), hgu95av2cdf, affy
(>= 1.41.3), affydata (>= 1.11.5), RUnit",Rmpi,Artistic-2.0,NA,NA,NA,NA,yes,3.6.1
bit,/usr/local/lib/R/site-library,1.1-14,NA,R (>= 2.9.2),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
bit64,/usr/local/lib/R/site-library,0.9-7,NA,"R (>= 3.0.1), bit (>= 1.1-12), utils, methods, stats",NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
bitops,/usr/local/lib/R/site-library,1.0-6,NA,NA,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
blme,/usr/local/lib/R/site-library,1.0-4,NA,"R (>= 3.0-0), lme4 (>= 1.0-6)","methods, stats, utils",NA,testthat (>= 0.9-0),NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
blob,/usr/local/lib/R/site-library,1.2.0,NA,NA,"methods, prettyunits, rlang, vctrs (>= 0.2.0)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
bold,/usr/local/lib/R/site-library,0.9.0,NA,NA,"xml2, crul (>= 0.3.8), stringr, jsonlite, reshape, plyr,
data.table, tibble",NA,"roxygen2 (>= 6.1.1), sangerseqR, knitr, testthat, vcr (>=
0.2.2)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
boot,/usr/local/lib/R/site-library,1.3-23,recommended,"R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,Unlimited,NA,NA,NA,NA,no,3.6.1
bootstrap,/usr/local/lib/R/site-library,2019.6,NA,"stats, R (>= 2.10.0)",NA,NA,NA,NA,BSD_3_clause + file LICENSE,NA,NA,NA,NA,yes,3.6.1
boral,/usr/local/lib/R/site-library,1.5,NA,coda,"R2jags, mvtnorm, fishMod, MASS, stats, graphics, grDevices,
abind",NA,"mvabund (>= 3.8.4), corrplot",NA,GPL-2,NA,NA,NA,NA,no,3.4.2
Boruta,/usr/local/lib/R/site-library,6.0.0,NA,ranger,NA,NA,"mlbench, rFerns, randomForest, testthat, xgboost",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
BradleyTerry2,/usr/local/lib/R/site-library,1.1-0,NA,R (>= 2.10),"brglm, gtools, lme4 (>= 1.0), qvcalc, stats",NA,prefmod,gnm,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
brew,/usr/local/lib/R/site-library,1.0-6,NA,NA,NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,NA,3.6.1
brglm,/usr/local/lib/R/site-library,0.6.2,NA,"R (>= 2.6.0), profileModel",NA,NA,MASS,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
Brobdingnag,/usr/local/lib/R/site-library,1.2-6,NA,"R (>= 2.13.0), methods",NA,NA,NA,NA,GPL,NA,NA,NA,NA,no,3.6.1
broom,/usr/local/lib/R/site-library,0.5.2,NA,R (>= 3.1),"backports, dplyr, generics (>= 0.0.2), methods, nlme, purrr,
reshape2, stringr, tibble, tidyr",NA,"AER, akima, AUC, bbmle, betareg, biglm, binGroup, boot, brms,
btergm, car, caret, coda, covr, e1071, emmeans, ergm, gam (>=
1.15), gamlss, gamlss.data, gamlss.dist, geepack, ggplot2,
glmnet, gmm, Hmisc, irlba, joineRML, Kendall, knitr, ks,
Lahman, lavaan, lfe, lme4, lmodel2, lmtest, lsmeans, maps,
maptools, MASS, Matrix, mclust, mgcv, muhaz, multcomp, network,
nnet, orcutt (>= 2.2), ordinal, plm, plyr, poLCA, psych,
quantreg, rgeos, rmarkdown, robust, rsample, rstan, rstanarm,
sp, speedglm, statnet.common, survey, survival, testthat,
tseries, xergm, zoo",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
BSDA,/usr/local/lib/R/site-library,1.2.0,NA,"lattice, R (>= 2.10)",e1071,NA,"ggplot2 (>= 2.1.0), dplyr, tidyr",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
callr,/usr/local/lib/R/site-library,3.3.1,NA,NA,"processx (>= 3.4.0), R6, utils",NA,"cliapp, covr, crayon, knitr, pingr, ps, rmarkdown, rprojroot,
spelling, testthat, tibble, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
candisc,/usr/local/lib/R/site-library,0.8-0,NA,"car, heplots (>= 0.8-6), graphics, stats",NA,NA,"rgl, corrplot, knitr, rmarkdown, MASS, rpart, rpart.plot",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
car,/usr/local/lib/R/site-library,3.0-3,NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, maptools, rio, lme4, nlme",NA,"alr4, boot, coxme, leaps, lmtest, Matrix, MatrixModels, rgl
(>= 0.93.960), sandwich, SparseM, survival, survey",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
carData,/usr/local/lib/R/site-library,3.0-2,NA,R (>= 3.0),NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
caret,/usr/local/lib/R/site-library,6.0-84,NA,"R (>= 3.2.0), lattice (>= 0.20), ggplot2","foreach, methods, plyr, ModelMetrics (>= 1.1.0), nlme,
reshape2, stats, stats4, utils, grDevices, recipes (>= 0.1.4),
withr (>= 2.0.0)",NA,"BradleyTerry2, e1071, earth (>= 2.2-3), fastICA, gam (>=
1.15), ipred, kernlab, knitr, klaR, MASS, ellipse, mda, mgcv,
mlbench, MLmetrics, nnet, party (>= 0.9-99992), pls, pROC,
proxy, randomForest, RANN, spls, subselect, pamr, superpc,
Cubist, testthat (>= 0.9.1), rpart, dplyr",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
catdata,/usr/local/lib/R/site-library,1.2.1,NA,MASS,NA,NA,"rms, qvcalc, glmmML, nnet, pscl, VGAM, gee, mlogit, Ecdat,
geepack, mgcv, rpart, party, ordinal, lme4, vcdExtra, glmnet,
mboost, class, e1071, flexmix, lqa, lpSolve, GAMBoost,
penalized",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
caTools,/usr/local/lib/R/site-library,1.17.1.2,NA,R (>= 2.2.0),bitops,NA,"MASS, rpart",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
cba,/usr/local/lib/R/site-library,0.2-21,NA,"R (>= 2.10), grid, proxy","stats, graphics, grDevices, methods",NA,"gclus, colorspace",NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
cellranger,/usr/local/lib/R/site-library,1.1.0,NA,R (>= 3.0.0),"rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
checkmate,/usr/local/lib/R/site-library,1.9.4,NA,R (>= 3.0.0),"backports (>= 1.1.0), utils",NA,"R6, bit, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
0.11.0), tibble",NA,BSD_3_clause + file LICENSE,NA,NA,NA,NA,yes,3.6.1
chron,/usr/local/lib/R/site-library,2.3-53,NA,R (>= 2.12.0),"graphics, stats",NA,"scales, ggplot2",zoo,GPL-2,NA,NA,NA,NA,yes,3.6.1
Ckmeans.1d.dp,/usr/local/lib/R/site-library,4.2.2,NA,NA,Rcpp (>= 0.12.18),Rcpp,"testthat, knitr, rmarkdown",NA,LGPL (>= 3),NA,NA,NA,NA,yes,3.6.1
classInt,/usr/local/lib/R/site-library,0.4-1,NA,R (>= 2.2),"grDevices, stats, graphics, e1071, class, KernSmooth",NA,"spData (>= 0.2.6.2), units",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
cli,/usr/local/lib/R/site-library,1.1.0,NA,R (>= 2.10),"assertthat, crayon (>= 1.3.4), methods, utils",NA,"covr, fansi, mockery, testthat, webshot, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
clipr,/usr/local/lib/R/site-library,0.7.0,NA,NA,utils,NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
clisymbols,/usr/local/lib/R/site-library,1.2.0,NA,NA,NA,NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
clubSandwich,/usr/local/lib/R/site-library,0.3.5,NA,R (>= 3.0.0),"stats, sandwich",NA,"Formula, knitr, carData, geepack, metafor, robumeta, nlme,
mlmRev, AER, plm (>= 1.6-4), lme4, zoo, testthat, rmarkdown",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
clusterGeneration,/usr/local/lib/R/site-library,1.3.4,NA,"R (>= 2.9.1), MASS",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
clusterSEs,/usr/local/lib/R/site-library,2.6.1,NA,"R (>= 3.3.0), AER, Formula, plm, stats","sandwich, lmtest, mlogit, utils",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
ClusterSignificance,/usr/local/lib/R/site-library,1.12.0,NA,R (>= 3.3.0),"methods, pracma, princurve (>= 2.0.5), scatterplot3d,
RColorBrewer, grDevices, graphics, utils, stats",NA,"knitr, rmarkdown, testthat, BiocStyle, ggplot2, plsgenomics,
covr",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
cmprsk,/usr/local/lib/R/site-library,2.2-8,NA,"R (>= 3.6.0), survival",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
coda,/usr/local/lib/R/site-library,0.19-3,NA,R (>= 2.14.0),lattice,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
codetools,/usr/local/lib/R/site-library,0.2-16,recommended,R (>= 2.1),NA,NA,NA,NA,GPL,NA,NA,NA,NA,no,3.6.1
coin,/usr/local/lib/R/site-library,1.3-0,NA,"R (>= 3.4.0), survival","methods, parallel, stats, stats4, utils, libcoin (>= 1.0-0),
matrixStats (>= 0.54.0), modeltools (>= 0.2-9), mvtnorm (>=
1.0-5), multcomp",libcoin (>= 1.0-0),"xtable, e1071, vcd, TH.data (>= 1.0-7)",NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
colorspace,/usr/local/lib/R/site-library,1.4-1,NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,BSD_3_clause + file LICENSE,NA,NA,NA,NA,yes,3.6.1
combinat,/usr/local/lib/R/site-library,0.0-8,NA,NA,NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,NA,3.6.1
commonmark,/usr/local/lib/R/site-library,1.7,NA,NA,NA,NA,"curl, testthat, xml2",NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,yes,3.6.1
CompQuadForm,/usr/local/lib/R/site-library,1.4.3,NA,NA,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
conf.design,/usr/local/lib/R/site-library,2.0.0,NA,NA,NA,NA,"stats, utils",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
cooccur,/usr/local/lib/R/site-library,1.3,NA,NA,"reshape2, gmp, ggplot2",NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
corpcor,/usr/local/lib/R/site-library,1.6.9,NA,R (>= 3.0.2),stats,NA,,NA,GPL (>= 3),NA,NA,NA,NA,no,3.6.1
corrplot,/usr/local/lib/R/site-library,0.84,NA,NA,NA,NA,"knitr, RColorBrewer, testthat",NA,GPL,NA,NA,NA,NA,no,3.6.1
covr,/usr/local/lib/R/site-library,3.3.1,NA,"R (>= 3.1.0), methods","digest, stats, utils, jsonlite, rex, httr, crayon, withr (>=
1.0.2), yaml",NA,"R6, knitr, rmarkdown, htmltools, DT (>= 0.2), testthat,
rlang, rstudioapi (>= 0.2), xml2 (>= 1.0.0), parallel, memoise,
mockery",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
cowplot,/usr/local/lib/R/site-library,1.0.0,NA,R (>= 3.5.0),"ggplot2 (> 2.2.1), grid, gtable, grDevices, methods, rlang,
scales, utils",NA,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, rmarkdown, testthat (>= 1.0.0),
tidyr, vdiffr (>= 0.3.0), VennDiagram",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
CoxBoost,/usr/local/lib/R/site-library,1.4,NA,"R (>= 2.14.0), survival, Matrix, prodlim",NA,NA,"parallel, snowfall",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
coxme,/usr/local/lib/R/site-library,2.2-14,optional,"survival (>= 2.36.14), methods, bdsmatrix(>= 1.3), R(>= 2.10)","nlme, Matrix (>= 1.0)",bdsmatrix,"mvtnorm, kinship2",NA,LGPL-2,NA,NA,NA,NA,yes,3.6.1
crayon,/usr/local/lib/R/site-library,1.3.4,NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
crosstalk,/usr/local/lib/R/site-library,1.0.0,NA,NA,"htmltools (>= 0.3.5), jsonlite, lazyeval, R6, shiny (>= 0.11),
ggplot2",NA,NA,NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
crrstep,/usr/local/lib/R/site-library,2015-2.1,NA,cmprsk,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
crul,/usr/local/lib/R/site-library,0.8.4,NA,NA,"curl (>= 3.3), R6 (>= 2.2.0), urltools (>= 1.6.0), httpcode
(>= 0.2.0), jsonlite, mime",NA,"testthat, fauxpas (>= 0.1.0), webmockr (>= 0.1.0), knitr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
cubature,/usr/local/lib/R/site-library,2.0.3,NA,NA,Rcpp,Rcpp,"testthat, knitr, mvtnorm, benchr",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
Cubist,/usr/local/lib/R/site-library,0.2.2,NA,lattice,reshape2,NA,"mlbench, caret, knitr",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
curl,/usr/local/lib/R/site-library,4.0,NA,R (>= 3.0.0),NA,NA,"askpass, spelling, testthat (>= 1.0.0), knitr, jsonlite,
rmarkdown, magrittr, httpuv (>= 1.4.4), webutils",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
CVST,/usr/local/lib/R/site-library,0.2-2,NA,"kernlab,Matrix",NA,NA,NA,NA,GPL (>= 2.0),NA,NA,NA,NA,no,3.6.1
